ID,desired,softmax,DiffShort,DiffLong,DiffAll,DirShort,DirLong,DirAll,feCheater00,feBiasP01,feBiasN02,feBiasZ03,feRepeatL04,fe3DiffMean05,feRandom06,X00_00,X01_01,X02_02,X03_03,X04_04,X05_05,X06_06,X07_04,X08_06,X09_05,X10_06,X11_04,X12_05,N00,N01,N02,N03,N04,Y00_00,Y01_01,Y02_02,Y03_03,Y04_04,reserve
574,-0.10073301,-0.04749884,-0.02006465,-0.0041666,-0.00315034,0.1553286,0.03960104,-0.04279949,-0.10073301,0.5,-0.5,0,0.47904301,1.28796196,-0.74987793,0.001,0.28783751,0.1472062,0.001,0.0209853,0.10047017,0.27378619,0.0209853,0.27378619,0.10047017,0.27378619,0.0209853,0.10047017,0.01132436,-0.23464419,-0.08659774,0.01276541,0.16081186,0.02075163,0.17643435,0.14726037,0.0209853,0.10047017,0
573,0.64976764,-0.04432041,-0.02222919,-0.00436401,-0.00315581,0.08312057,0.03554009,-0.04290114,0.64976764,0.5,-0.5,0,-0.10073301,0.551754,-0.54223633,0.001,0.29780871,0.13719147,0.001,0.0109832,0.11046012,0.26375881,0.0109832,0.26375881,0.11046012,0.26375881,0.0109832,0.11046012,-0.00407204,-0.17831612,-0.09988855,-0.00140509,0.07702248,0.01074956,0.1664167,0.13724564,0.0109832,0.11046012,0
572,-0.19663702,-0.06214856,-0.01791829,-0.00416434,-0.00315052,0.14042553,0.03930752,-0.0427904,-0.19663702,0.5,-0.5,0,0.64976764,1.0280776,-0.76177979,0.001,0.28777894,0.14717776,0.001,0.001,0.10044907,0.27373242,0.001,0.27373242,0.10044907,0.27373242,0.001,0.10044907,-0.03559965,-0.25007328,-0.12156488,0.0008252,0.1293336,0.001,0.17640007,0.14723192,0.001,0.10044907,0
571,-0.67243224,0.05500831,-0.02071297,-0.00439268,-0.00315685,0.06914894,0.03524772,-0.04289203,-0.67243224,0.5,-0.5,0,-0.19663702,0.35239759,0.34191895,0.001,0.27775016,0.15716304,0.001,0.011,0.09043903,0.26370504,0.011,0.26370504,0.09043903,0.26370504,0.011,0.09043903,0.2240129,0.1105459,0.15371375,-0.002747,0.04042085,0.001,0.16638242,0.13721719,0.011,0.09043903,0
570,0.68132049,-0.03723969,-0.02217394,-0.00454772,-0.00316118,0.00232714,0.03120378,-0.04299363,0.68132049,0.5,-0.5,0,-0.67243224,-0.21930164,-0.27008057,0.001,0.28772238,0.14714731,0.001,0.001,0.08042999,0.25367868,0.001,0.25367868,0.08042999,0.25367868,0.001,0.08042999,-0.02459357,-0.08732782,-0.10886536,-0.00085399,-0.02239152,0.001,0.15636577,0.12720346,0.001,0.08042999,0
569,-0.52314943,0.03217452,-0.02311969,-0.00467563,-0.00316481,-0.06031831,0.02717564,-0.04309521,-0.52314943,0.5,-0.5,0,0.68132049,-0.18774877,0.36584473,0.001,0.2776936,0.1571326,0.001,0.001,0.09042194,0.24365331,0.001,0.24365331,0.09042194,0.24365331,0.001,0.09042194,0.16437481,0.11289516,0.09047788,0.00086528,-0.02155201,0.001,0.14635012,0.11719074,0.001,0.09042194,0
568,-0.43609938,0.01479223,-0.02305108,-0.00474334,-0.00316681,-0.11904842,0.02316324,-0.04319678,-0.43609938,0.5,-0.5,0,-0.52314943,-0.51426119,0.36608887,0.001,0.26766583,0.16711688,0.001,0.011,0.10041289,0.23362894,0.011,0.23362894,0.10041289,0.23362894,0.011,0.10041289,0.09585048,0.10027246,0.04223139,-0.00730807,-0.06534915,0.001,0.13633548,0.10717902,0.011,0.10041289,0
567,0.11309273,0.06651901,-0.01827499,-0.00451636,-0.00316082,-0.04910789,0.02697901,-0.04308607,0.11309273,0.5,-0.5,0,-0.43609938,-0.27792829,0.71838379,0.001,0.27763906,0.15710016,0.001,0.001,0.09040285,0.24360558,0.001,0.24360558,0.09040285,0.24360558,0.001,0.09040285,0.25437433,0.21323727,0.18190855,-0.00055385,-0.03188258,0.011,0.14632185,0.1171683,0.001,0.09040285,0
566,-0.63173711,-0.10780048,-0.01141518,-0.00414133,-0.00315077,0.01646135,0.03077987,-0.04297538,-0.63173711,0.5,-0.5,0,0.11309273,-0.84615612,-0.62945557,0.001,0.26761129,0.16708446,0.001,0.001,0.1003938,0.2535812,0.001,0.2535812,0.1003938,0.2535812,0.001,0.1003938,-0.2420274,-0.19607767,-0.30308589,0.00014363,-0.10686459,0.0209989,0.15630722,0.12715659,0.001,0.1003938,0
565,-0.82449424,0.05741373,-0.01549524,-0.00442469,-0.00315857,-0.04706749,0.02675339,-0.04307692,-0.82449424,0.5,-0.5,0,-0.63173711,-0.95474374,0.98138428,0.001,0.25758454,0.17706776,0.001,0.011,0.11038376,0.24355583,0.011,0.24355583,0.11038376,0.24355583,0.011,0.11038376,0.19122946,0.27434,0.15125264,-0.0088248,-0.13191216,0.0109968,0.14629158,0.11714388,0.011,0.11038376,0
